angle (degrees) - Plot 0	thermopile signal (volts) - Plot 0
29.00	2.86315E-5	
29.05	4.09479E-5	
29.10	0.000773338	
29.15	5.1277E-5	
29.20	9.7546E-6	
29.25	4.62732E-5	
29.30	7.17377E-5	
29.35	5.06111E-5	
29.40	3.76117E-5	
29.45	4.76724E-5	
29.50	6.30759E-5	
29.55	4.94904E-5	
29.60	1.07801E-5	
29.65	5.32854E-6	
29.70	2.81632E-5	
29.75	0.00231734	
29.80	4.72505E-5	
29.85	4.94143E-5	
29.90	6.7989E-5	
29.95	3.98508E-5	
30.00	4.56318E-5	
30.05	6.71787E-5	
30.10	3.74383E-5	
30.15	-1.71015E-6	
30.20	4.86944E-5	
30.25	5.00155E-5	
30.30	-5.70368E-6	
30.35	5.19361E-5	
30.40	0.00307544	
30.45	4.74977E-5	
30.50	4.54915E-5	
30.55	9.03318E-5	
30.60	6.91351E-5	
30.65	7.90609E-5	
30.70	8.74211E-5	
30.75	7.24821E-5	
30.80	0.000109377	
30.85	8.02941E-5	
30.90	6.00701E-5	
30.95	7.00162E-5	
31.00	0.00160807	
31.05	8.82597E-5	
31.10	8.99515E-5	
31.15	7.81966E-5	
31.20	8.88848E-5	
31.25	0.000135726	
31.30	7.79384E-5	
31.35	8.72488E-5	
31.40	6.4292E-5	
31.45	8.50446E-5	
31.50	0.000109525	
31.55	0.000104652	
31.60	0.000145062	
31.65	0.00210126	
31.70	0.000103882	
31.75	0.000132129	
31.80	0.000109575	
31.85	0.000107795	
31.90	0.000106108	
31.95	0.000132227	
32.00	0.000134055	
32.05	0.000105398	
32.10	9.82257E-5	
32.15	8.69295E-5	
32.20	0.000137	
32.25	0.000151585	
32.30	0.00220551	
32.35	0.000142353	
32.40	0.000151001	
32.45	0.000167307	
32.50	0.000127233	
32.55	0.000176521	
32.60	0.00016508	
32.65	0.000186465	
32.70	0.000231066	
32.75	0.000260169	
32.80	0.000261283	
32.85	0.000246912	
32.90	0.00031664	
32.95	0.00322896	
33.00	0.000337127	
33.05	0.000259018	
33.10	0.000257648	
33.15	0.000326547	
33.20	0.000360255	
33.25	0.000413948	
33.30	0.000334255	
33.35	0.00035723	
33.40	0.000268772	
33.45	0.000410331	
33.50	0.000491574	
33.55	0.00233819	
33.60	0.000498997	
33.65	0.000567372	
33.70	0.000591477	
33.75	0.000597618	
33.80	0.000611616	
33.85	0.000629539	
33.90	0.000649273	
33.95	0.000544961	
34.00	0.000564648	
34.05	0.000634046	
34.10	0.000558931	
34.15	0.000464235	
34.20	0.00292344	
34.25	0.00022773	
34.30	9.74042E-5	
34.35	3.29827E-5	
34.40	1.17015E-5	
34.45	-3.69548E-6	
34.50	-2.14969E-6	
34.55	5.51433E-6	
34.60	7.4089E-6	
34.65	-1.9469E-5	
34.70	-9.81179E-6	
34.75	-7.45579E-5	
34.80	5.42501E-5	
34.85	0.00165213	
34.90	-1.18492E-5	
34.95	-1.96088E-6	
35.00	-1.39722E-5	
35.05	4.07229E-6	
35.10	-8.61533E-5	
35.15	7.68111E-6	
35.20	8.19585E-5	
35.25	-2.72042E-5	
35.30	-3.07065E-5	
35.35	-4.35021E-5	
35.40	-1.67637E-5	
35.45	2.39978E-5	
35.50	0.00147723	
