angle (degrees) - Plot 0	thermopile signal (volts) - Plot 0
29.00	8.56557E-5	
29.05	0.000106802	
29.10	7.50919E-5	
29.15	6.97408E-5	
29.20	7.62523E-5	
29.25	6.47445E-5	
29.30	0.000111803	
29.35	3.89352E-5	
29.40	7.65518E-5	
29.45	0.000113489	
29.50	9.81033E-5	
29.55	-0.00998139	
29.60	0.000185979	
29.65	0.000115746	
29.70	5.17867E-5	
29.75	6.8212E-5	
29.80	6.33164E-5	
29.85	0.00013673	
29.90	8.88331E-5	
29.95	0.000110046	
30.00	0.000175099	
30.05	9.08956E-5	
30.10	9.35924E-5	
30.15	0.000110841	
30.20	-0.0110063	
30.25	6.0742E-5	
30.30	0.000146565	
30.35	0.000263014	
30.40	-2.42914E-5	
30.45	0.000124589	
30.50	9.62524E-5	
30.55	3.07792E-5	
30.60	8.50436E-5	
30.65	8.43417E-5	
30.70	0.000107633	
30.75	2.02687E-5	
30.80	9.90155E-5	
30.85	-0.00461431	
30.90	5.50319E-5	
30.95	8.08988E-5	
31.00	9.19825E-5	
31.05	0.000148779	
31.10	0.000134871	
31.15	0.000124916	
31.20	0.000101787	
31.25	0.000141281	
31.30	0.000135131	
31.35	0.000159521	
31.40	0.000105313	
31.45	0.000156135	
31.50	-0.00500861	
31.55	0.000201405	
31.60	0.00016748	
31.65	0.000178128	
31.70	0.000144685	
31.75	0.000196429	
31.80	0.000177962	
31.85	0.0001652	
31.90	0.000175798	
31.95	0.000166435	
32.00	0.000166822	
32.05	0.000160891	
32.10	-0.00352793	
32.15	0.000290419	
32.20	0.000227944	
32.25	0.000280312	
32.30	0.00027366	
32.35	0.00024817	
32.40	0.000217521	
32.45	0.000237391	
32.50	0.000233381	
32.55	0.000293538	
32.60	0.00031571	
32.65	0.000378998	
32.70	0.000362223	
32.75	-0.00818494	
32.80	0.000469857	
32.85	0.000552135	
32.90	0.000570207	
32.95	0.000592428	
33.00	0.000642664	
33.05	0.000657225	
33.10	0.000650359	
33.15	0.00072073	
33.20	0.000802862	
33.25	0.00085128	
33.30	0.00086296	
33.35	0.000685079	
33.40	-0.00753667	
33.45	0.000967967	
33.50	0.00110729	
33.55	0.00119637	
33.60	0.00128465	
33.65	0.00134251	
33.70	0.00144011	
33.75	0.00147047	
33.80	0.00169335	
33.85	0.00176187	
33.90	0.00174425	
33.95	0.00167462	
34.00	0.00184521	
34.05	-0.00605814	
34.10	0.0021796	
34.15	0.00197568	
34.20	0.00156437	
34.25	0.0012291	
34.30	0.000795119	
34.35	0.000446214	
34.40	0.000211556	
34.45	0.000127978	
34.50	0.000123739	
34.55	1.6498E-5	
34.60	9.47236E-6	
34.65	-0.00200784	
34.70	0.000528633	
34.75	1.48107E-5	
34.80	5.49571E-5	
34.85	2.7354E-5	
34.90	6.7412E-6	
34.95	4.72787E-5	
35.00	3.80865E-5	
35.05	1.27795E-5	
35.10	1.12424E-5	
35.15	3.52102E-5	
35.20	5.4856E-5	
35.25	8.52579E-5	
35.30	-0.00869096	
35.35	3.89002E-5	
35.40	-6.90507E-5	
35.45	5.25304E-5	
35.50	4.0273E-5	
