angle (degrees) - Plot 0	thermopile signal (volts) - Plot 0
29.00	0.000129401	
29.05	-0.00571564	
29.10	8.3188E-5	
29.15	0.000109886	
29.20	6.28319E-5	
29.25	0.000129339	
29.30	0.000113166	
29.35	0.000142678	
29.40	7.13821E-5	
29.45	0.000141718	
29.50	0.000123081	
29.55	8.98973E-5	
29.60	0.000174533	
29.65	0.000118314	
29.70	-0.00800277	
29.75	9.38126E-5	
29.80	0.000124902	
29.85	0.000197191	
29.90	0.000113921	
29.95	0.000102673	
30.00	0.000181954	
30.05	0.000252835	
30.10	0.00013446	
30.15	0.000150452	
30.20	0.000189366	
30.25	0.000174641	
30.30	0.000150941	
30.35	-0.00529606	
30.40	0.000214243	
30.45	6.2059E-5	
30.50	0.000198196	
30.55	8.72167E-5	
30.60	0.000286514	
30.65	0.000154606	
30.70	0.000206951	
30.75	0.000109889	
30.80	0.000208369	
30.85	0.00024132	
30.90	0.000251855	
30.95	-0.0077269	
31.00	0.000326812	
31.05	0.00026719	
31.10	0.00017966	
31.15	0.000276196	
31.20	0.000267478	
31.25	0.000266421	
31.30	0.000228892	
31.35	0.000286932	
31.40	0.000256209	
31.45	0.000332232	
31.50	0.00032947	
31.55	0.000316503	
31.60	-0.00680339	
31.65	0.000340701	
31.70	0.000327564	
31.75	0.000283225	
31.80	0.000321066	
31.85	0.000338389	
31.90	0.0003738	
31.95	0.000333391	
32.00	0.000297405	
32.05	0.000280494	
32.10	0.000307379	
32.15	0.000327004	
32.20	0.000401563	
32.25	-0.00676075	
32.30	0.00047349	
32.35	0.000428972	
32.40	0.00044757	
32.45	0.000426488	
32.50	0.000466113	
32.55	0.000510582	
32.60	0.000598357	
32.65	0.000628026	
32.70	0.000804525	
32.75	0.000714696	
32.80	0.000786257	
32.85	0.000794363	
32.90	-0.00557424	
32.95	0.000848769	
33.00	0.00101951	
33.05	0.00109071	
33.10	0.00116899	
33.15	0.00119337	
33.20	0.00135653	
33.25	0.0014227	
33.30	0.00147249	
33.35	0.00124898	
33.40	0.00108	
33.45	0.00170836	
33.50	-0.00191319	
33.55	0.00229992	
33.60	0.00234707	
33.65	0.00253035	
33.70	0.00276102	
33.75	0.00304829	
33.80	0.00329969	
33.85	0.00358587	
33.90	0.00382255	
33.95	0.00359853	
34.00	0.00422012	
34.05	0.00527562	
34.10	0.00547564	
34.15	-0.00345461	
34.20	0.00486699	
34.25	0.00409825	
34.30	0.00300734	
34.35	0.0019137	
34.40	0.00108534	
34.45	0.000579526	
34.50	0.000345319	
34.55	0.000174651	
34.60	0.000100324	
34.65	0.000131186	
34.70	8.56961E-5	
34.75	5.7838E-5	
34.80	-0.00850706	
34.85	4.69852E-5	
34.90	0.000105998	
34.95	2.93056E-5	
35.00	-2.18079E-5	
35.05	-2.17037E-5	
35.10	8.79995E-5	
35.15	-3.44224E-6	
35.20	-1.19005E-5	
35.25	-5.06725E-5	
35.30	6.14091E-5	
35.35	5.20085E-6	
35.40	-3.51927E-5	
35.45	-0.00797297	
35.50	-1.61549E-5	
