angle (degrees) - Plot 0	thermopile signal (volts) - Plot 0
29.00	2.35894E-5	
29.05	5.48042E-5	
29.10	9.0638E-5	
29.15	1.32337E-5	
29.20	3.60184E-5	
29.25	6.7914E-5	
29.30	6.75838E-5	
29.35	3.20709E-5	
29.40	3.76078E-5	
29.45	5.48202E-5	
29.50	4.39394E-5	
29.55	4.77189E-5	
29.60	0.000619772	
29.65	7.56922E-5	
29.70	6.18512E-5	
29.75	6.95929E-5	
29.80	3.34649E-5	
29.85	7.41562E-5	
29.90	6.27591E-5	
29.95	5.67633E-5	
30.00	4.54892E-5	
30.05	4.79218E-5	
30.10	7.30838E-5	
30.15	6.34446E-5	
30.25	8.6762E-6	
30.30	4.69267E-5	
30.35	9.63417E-5	
30.40	9.53805E-5	
30.45	8.68896E-5	
30.50	0.000107102	
30.55	9.35977E-5	
30.60	9.58384E-5	
30.65	6.03214E-5	
30.70	5.26506E-5	
30.75	9.80402E-5	
30.80	0.000108861	
30.90	4.55322E-5	
30.95	9.24551E-5	
31.00	9.87648E-5	
31.05	8.30922E-5	
31.10	0.000120655	
31.15	8.36592E-5	
31.20	0.000108236	
31.25	0.000136765	
31.30	0.000137278	
31.35	0.000163509	
31.40	0.000146593	
31.45	0.000198315	
31.55	0.000100807	
31.60	0.000202029	
31.65	0.000151849	
31.70	0.000115546	
31.75	0.000107406	
31.80	0.000128394	
31.85	0.000138541	
31.90	0.000166735	
31.95	0.000134599	
32.00	0.000138348	
32.05	0.000145385	
32.10	9.00826E-5	
32.20	0.000111725	
32.25	0.000170463	
32.30	0.000217261	
32.35	0.000163265	
32.40	0.000151192	
32.45	0.000135391	
32.50	0.00017446	
32.55	0.000197044	
32.60	0.000250494	
32.65	0.000301151	
32.70	0.000275669	
32.80	0.000319054	
32.85	0.000328503	
32.90	0.000331503	
32.95	0.00038415	
33.00	0.000365752	
33.05	0.000412897	
33.10	0.000410297	
33.15	0.000475414	
33.20	0.000495122	
33.25	0.000517811	
33.30	0.00050258	
33.35	0.000432869	
33.45	0.000576842	
33.50	0.000636987	
33.55	0.000621305	
33.60	0.000850697	
33.65	0.000735774	
33.70	0.000776254	
33.75	0.000791608	
33.80	0.000855327	
33.85	0.000857451	
33.90	0.000852403	
33.95	0.000706419	
34.00	0.000796674	
34.10	0.000681216	
34.15	0.000729535	
34.20	0.000500811	
34.25	0.000342597	
34.30	0.000182417	
34.35	9.48438E-5	
34.40	4.09837E-5	
34.45	4.89562E-6	
34.60	2.67846E-5	
34.80	4.97431E-6	
35.10	1.08191E-5	
35.20	2.16633E-5	
35.25	3.0237E-6	
35.35	6.63118E-5	
35.40	2.05473E-5	
35.50	0.000144804	
